name,gid,birthday,race,party,gender,chamber,ideology,leadership
Markey,400253,1946-07-11,MA-S2,D,M,senate,0.03161748984762161,0.5268337357342132
Marshall,412704,1960-08-09,KS-01,R,M,house,0.6976547386045246,0.24362180581001888
Massie,412503,1971-01-13,KY-04,R,M,house,0.7233261908471537,0.6594324186950595
Mast,412698,1980-07-10,FL-18,R,M,house,0.5858176769230519,0.348908886599338
Matsui,400663,1944-09-25,CA-06,D,F,house,0.2960795562679165,0.4009528275334798
McCarthy,412190,1965-01-26,CA-23,R,M,house,0.5275257044073847,0.6745131078372775
McCaskill,412243,1953-07-24,MO-S1,D,F,senate,0.43337255191113067,0.3863536473059579
McCaul,400654,1962-01-14,TX-10,R,M,house,0.8153510984226577,0.9045041126984497
McClintock,412295,1956-07-10,CA-04,R,M,house,0.8630629664173355,0.6458896801743573
McCollum,400259,1954-07-12,MN-04,D,F,house,0.2038915478002947,0.40008049829456893
McConnell,300072,1942-02-20,KY-S2,R,M,senate,0.7949613690544788,0.9261064898131945
McEachin,412728,1961-10-10,VA-04,D,M,house,0.3514218314552699,0.3418889333551811
McGovern,400263,1959-11-20,MA-02,D,M,house,0.11140940200113666,0.5623638614292549
McHenry,400644,1975-10-22,NC-10,R,M,house,0.7274219718135848,0.6374982162560717
McKinley,412487,1947-03-28,WV-01,R,M,house,0.7950227494762926,0.8584029435443752
McMorris Rodgers,400659,1969-05-22,WA-05,R,F,house,0.7194597129363479,0.8243600606174619
McNerney,412189,1951-06-18,CA-09,D,M,house,0.26026090644660155,0.30888014421503396
McSally,412611,1966-03-22,AZ-02,R,F,house,0.6887816374831786,0.7815121562849107
Meadows,412552,1959-07-28,NC-11,R,M,house,0.934212086776392,0.7316297473899903
Meeks,400271,1953-09-25,NY-05,D,M,house,0.21983705681312293,0.4701628117582884
Menendez,400272,1954-01-01,NJ-S1,D,M,senate,0.14118665296675625,0.903080077304199
Meng,412560,1975-10-01,NY-06,D,F,house,0.2662707514395904,0.6344204998786634
Merkley,412325,1956-10-24,OR-S2,D,M,senate,0.006245321046374881,0.456403767872017
Messer,412540,1969-02-27,IN-06,R,M,house,0.902471152284251,0.6744408577800336
Mitchell,412710,1961-05-08,MI-10,R,M,house,0.6774741305212113,0.1418682583772242
Moolenaar,412634,1961-05-08,MI-04,R,M,house,0.7384843115758494,0.11549459236932035
Mooney,412662,1971-06-05,WV-02,R,M,house,0.7986589439143982,0.5814706464084423
Moore,400661,1951-04-18,WI-04,D,F,house,0.12234842640531586,0.44534971074771684
Moran,400284,1954-05-29,KS-S3,R,M,senate,0.7825845216641111,0.5674359069687896
Moulton,412632,1978-10-24,MA-06,D,M,house,0.36043003890963216,0.6305847967082622
Mullin,412568,1977-07-26,OK-02,R,M,house,0.8305009447701376,0.5314904729107025
Murkowski,300075,1957-05-22,AK-S3,R,F,senate,0.5691970770135386,0.46597079865294827
Murphy,412694,1978-09-16,FL-07,D,F,house,0.4595921010577839,0.4831441059411173
Murphy,412194,1973-08-03,CT-S1,D,M,senate,0.1400051584063964,0.329862096348099
Murray,300076,1950-10-11,WA-S3,D,F,senate,0.126616827629619,0.6314463823443232
Nadler,400289,1947-06-13,NY-10,D,M,house,0.16526135102948317,0.724624382778758
Napolitano,400290,1936-12-04,CA-32,D,F,house,0.20641280701539447,0.37446854913589867
Neal,400291,1949-02-14,MA-01,D,M,house,0.4475427582190619,0.65602337412493394
Nelson,300078,1942-09-29,FL-S1,D,M,senate,0.42709099828612784,0.6760110690890372
Newhouse,412660,1955-07-10,WA-04,R,M,house,0.7896027828032773,0.5280006102176338
Noem,412475,1971-11-30,SD-00,R,F,house,0.8213104947801954,0.7622053858085043
Nolan,408211,1943-12-17,MN-08,D,M,house,0.3766349666208063,0.3492774791076158
Norcross,412606,1958-12-13,NJ-01,D,M,house,0.35530755220786764,0.14049983921322284
Norman,412738,1953-06-20,SC-05,R,M,house,0.7544549526065897,0.2877480383793147
Norton,400295,1937-06-13,DC-00,D,F,house,0,0.5116000079489504
Nunes,400297,1973-10-01,CA-22,R,M,house,0.7223522550672566,0.6551807536560397
O'Halleran,412682,1946-01-24,AZ-01,D,M,house,0.4786339898952032,0.2690551722592782
O'Rourke,412575,1972-09-26,TX-16,D,M,house,0.341765289146586,0.4073328330736448
Olson,412302,1962-12-09,TX-22,R,M,house,0.9841688139218938,0.8210351298450422
Palazzo,412443,1970-02-21,MS-04,R,M,house,0.8945774386607867,0.5565013288616928
Pallone,400308,1951-10-30,NJ-06,D,M,house,0.26103038695454306,0.5005719945725542
Palmer,412608,1954-05-14,AL-06,R,M,house,0.7022427901090951,0.6548508783338862
Panetta,412685,1969-10-01,CA-20,D,M,house,0.38170086145561827,0.18950809525692736
Pascrell,400309,1937-01-25,NJ-09,D,M,house,0.3494720317770623,0.6882416824761881
Paul,412492,1963-01-07,KY-S3,R,M,senate,0.7433499107279034,0.4647672030035989
Paulsen,412303,1965-05-14,MN-03,R,M,house,0.736856330491871,0.9868254458645599
Payne,412506,1958-12-17,NJ-10,D,M,house,0.22129557643924178,0.4618737674581721
Pearce,400313,1947-08-24,NM-02,R,M,house,0.9090489454604411,0.4094813772831577
Pelosi,400314,1940-03-26,CA-12,D,F,house,0.3842767577860578,0.03848132230556576
Perdue,412666,1949-12-10,GA-S2,R,M,senate,0.8674954901428261,0.19545248224029962
Perlmutter,412192,1953-05-01,CO-07,D,M,house,0.3742700874871335,0.33579495925077385
Perry,412569,1962-05-27,PA-04,R,M,house,0.8367699883427041,0.43174127663879747
Peters,412523,1958-06-17,CA-52,D,M,house,0.3635133836607488,0.4789635016084549
Peters,412305,1958-12-01,MI-S2,D,M,senate,0.36390839108392087,0.3202926084262903
Peterson,400316,1944-06-29,MN-07,D,M,house,0.6599061975649219,0.3986654551996711
Pingree,412307,1955-04-02,ME-01,D,F,house,0.2719640290096105,0.35282680913365005
Pittenger,412551,1948-08-15,NC-09,R,M,house,0.9253250056226298,0.5349249596825681
Plaskett,412659,1964-05-13,VI-00,D,F,house,0.34771753731808996,0.270951754988416
Pocan,412585,1964-08-14,WI-02,D,M,house,0.17927273737999544,0.5344071084543104
Poe,400652,1948-09-10,TX-02,R,M,house,0.8284889949267222,0.8884887460563152
Poliquin,412633,1953-11-01,ME-02,R,M,house,0.7175956121427263,0.2906388232138801
Polis,412308,1975-05-12,CO-02,D,M,house,0.3251705940170405,0.6265263696827674
Portman,400325,1955-12-19,OH-S3,R,M,senate,0.6342872625896793,0.7982842560635645
Posey,412309,1947-12-18,FL-08,R,M,house,0.8737366141040334,0.8195895972041374
Price,400326,1940-08-17,NC-04,D,M,house,0.32451546430199435,0.36635610268001073
Quigley,412331,1958-10-17,IL-05,D,M,house,0.27519544853867944,0.5047399840211477
Raskin,412708,1962-12-13,MD-08,D,M,house,0.23596545169262167,0.3168846731260421
Ratcliffe,412653,1965-10-20,TX-04,R,M,house,0.8005832051330071,0.5982783400823362
Reed,412393,1971-11-18,NY-23,R,M,house,0.6865418443349752,0.8622349716672016
Reed,300081,1949-11-12,RI-S2,D,M,senate,0.08862802742051079,0.5494374339929072
Reichert,400660,1950-08-29,WA-08,R,M,house,0.6280075445033516,0.8962002919653982
Renacci,412462,1958-12-03,OH-16,R,M,house,0.8137828703669964,0.8339389674782485
Rice,412572,1957-08-04,SC-07,R,M,house,0.7750046984665552,0.5564743538827935
Rice,412647,1965-02-15,NY-04,D,F,house,0.3719350146186852,0.2766258963475351
Richmond,412432,1973-09-13,LA-02,D,M,house,0.32860212874283007,0.7084048946706715
Risch,412322,1943-05-03,ID-S2,R,M,senate,0.899302852855033,0.3363117732269754
Roberts,300083,1936-04-20,KS-S2,R,M,senate,0.9338858404480421,0.5612138087530275
Roby,412394,1976-07-27,AL-02,R,F,house,0.7548157163418622,0.5649146433535638
Roe,412310,1945-07-21,TN-01,R,M,house,0.973054020611422,0.9263912677887699
Rogers,400340,1937-12-31,KY-05,R,M,house,0.6638625829372049,0.22220943709068713
Rogers,400341,1958-07-16,AL-03,R,M,house,0.789500433607361,0.26215486070618604
Rohrabacher,400343,1947-06-21,CA-48,R,M,house,0.7000621940284638,0.4806624438685624
Rokita,412426,1970-02-09,IN-04,R,M,house,0.9650116711595357,0.6687737547743262
Rooney,412311,1970-11-21,FL-17,R,M,house,0.759558011276886,0.3637314421585301
Rooney,412699,1953-12-04,FL-19,R,M,house,0.6635284548698496,0.30768270008937293
Ros-Lehtinen,400344,1952-07-15,FL-27,R,F,house,0.5621810422259258,0.95186718735279785
Rosen,412715,1957-08-02,NV-03,D,F,house,0.410545891822154,0.41805931767285026
Roskam,412202,1961-09-13,IL-06,R,M,house,0.7436428031635205,0.9385349533015013
Ross,412411,1959-10-18,FL-15,R,M,house,0.8438728254566822,0.6517340770335555
Rothfus,412570,1962-04-25,PA-12,R,M,house,0.8424620227789541,0.520850746759658
Rounds,412669,1954-10-24,SD-S2,R,M,senate,0.8610254276100631,0.17229985333300205
Rouzer,412641,1972-02-16,NC-07,R,M,house,0.8947125362441296,0.3377427040210987
Roybal-Allard,400347,1941-06-12,CA-40,D,F,house,0.2234162204876098,0.6032849546913035
Royce,400348,1951-10-12,CA-39,R,M,house,0.6568996958384423,1
Rubio,412491,1971-05-28,FL-S3,R,M,senate,0.7932963775524853,0.856022992090345
Ruiz,412519,1972-08-25,CA-36,D,M,house,0.39758045472363585,0.43636635459946166
Ruppersberger,400349,1946-01-31,MD-02,D,M,house,0.44966866199939487,0.115415295325262
Rush,400350,1946-11-23,IL-01,D,M,house,0.25182968755100965,0.30808459053738396
Russell,412650,1963-05-25,OK-05,R,M,house,0.7021289805594078,0.41524532816772275
Rutherford,412692,1952-09-02,FL-04,R,M,house,0.6235395328613909,0.3309584095687836
Ryan,400351,1970-01-29,WI-01,R,M,house,0.5810049865855055,0.226177553897296
Ryan,400352,1973-07-16,OH-13,D,M,house,0.3424160504943651,0.4567590021495543
Sablan,412312,1955-01-19,MP-00,D,M,house,0.34004232285118813,0.21029624858638146
Sanchez,400355,1969-01-28,CA-38,D,F,house,0.3224930466244652,0.6342129099384806
Sanders,400357,1941-09-08,VT-S1,D,M,senate,NA,NA
Sanford,400607,1960-05-28,SC-01,R,M,house,0.6932005896243397,0.4646588407716772
Sarbanes,412212,1962-05-22,MD-03,D,M,house,0.3174068445289289,0.5133487000435869
Sasse,412671,1972-02-22,NE-S2,R,M,senate,0.7485959714825241,0.23527426166327772
Scalise,412261,1965-10-06,LA-01,R,M,house,0.7354530658998666,0.6872284004812431
Schakowsky,400360,1944-05-26,IL-09,D,F,house,0.10583336938288548,0.6065827891235914
Schatz,412507,1972-10-20,HI-S3,D,M,senate,0.13405173043572993,0.5205817089345012
Schiff,400361,1960-06-22,CA-28,D,M,house,0.27458110560009935,0.5287346837422678
Schneider,412534,1961-08-20,IL-10,D,M,house,0.44160751222251127,0.4745943165542977
Schrader,412315,1951-10-19,OR-05,D,M,house,0.5291933641555642,0.5714098751781952
Schumer,300087,1950-11-23,NY-S3,D,M,senate,0.16769618286554022,0.4616558743264925
Schweikert,412399,1962-03-03,AZ-06,R,M,house,0.8563575982759841,0.4713969920307088
Scott,412417,1969-12-10,GA-08,R,M,house,0.8981058619546133,0.5048003184485705
Scott,400363,1945-06-27,GA-13,D,M,house,0.4550187480913228,0.36532304018897677
Scott,400364,1947-04-30,VA-03,D,M,house,0.22582284193721017,0.6393473294378345
Scott,412471,1965-09-19,SC-S3,R,M,senate,0.8685874318190855,0.4999999999999715
Sensenbrenner,400365,1943-06-14,WI-05,R,M,house,0.7960851238409654,0.8222271545372601
Serrano,400366,1943-10-24,NY-15,D,M,house,0.15919940292167528,0.30583793073222415
Sessions,400367,1955-03-22,TX-32,R,M,house,0.9929263401312708,0.6310724415248932
Sewell,412396,1965-01-01,AL-07,D,F,house,0.39785972263192726,0.6800755585024222
Shaheen,412323,1947-01-28,NH-S2,D,F,senate,0.23331682640970847,0.673376717301778
Shea-Porter,412219,1952-12-02,NH-01,D,F,house,0.2755213805111165,0.31070755432380703
Shelby,300089,1934-05-06,AL-S3,R,M,senate,0.6830030299020322,0.1633010561774422
Sherman,400371,1954-10-24,CA-30,D,M,house,0.40498260735882347,0.3650420656164522
Shimkus,400373,1958-02-21,IL-15,R,M,house,0.7436096129040258,0.5695988306738354
Shuster,409888,1961-01-10,PA-09,R,M,house,0.7266124277545254,0.6197671634050638
Simpson,400376,1950-09-08,ID-02,R,M,house,0.7069574353601251,0.5072034669069848
Sinema,412509,1976-07-12,AZ-09,D,F,house,0.5673281682975805,0.34101578447737707
Sires,412186,1951-01-26,NJ-08,D,M,house,0.32010968091398734,0.39160732389735886
Smith,400379,1965-06-15,WA-09,D,M,house,0.23881370208076047,0.4729242129159707
Smith,412217,1970-12-19,NE-03,R,M,house,0.7487555795072871,0.6274593633946451
Smith,400380,1953-03-04,NJ-04,R,M,house,0.6687743349141072,0.9365566245990795
Smith,400381,1947-11-19,TX-21,R,M,house,0.9010221325208727,0.7512870774634426
Smith,412596,1980-06-16,MO-08,R,M,house,0.8501070699377427,0.6170505510146612
Smith,412742,1958-03-04,MN-S2,D,F,senate,0.24851845889712226,0.12787944081105806
Smucker,412722,1964-01-23,PA-16,R,M,house,0.6525310028287222,0.3192167065216047
Soto,412695,1978-02-25,FL-09,D,M,house,0.2712307385412115,0.2834209754008112
Speier,412259,1950-05-14,CA-14,D,F,house,0.2505372133415043,0.6965043813751949
Stabenow,300093,1950-04-29,MI-S1,D,F,senate,0.2075738501978895,0.46995028990526266
Stefanik,412648,1984-07-02,NY-21,R,F,house,0.6670575725886118,0.6945555019503712
Stewart,412581,1960-07-15,UT-02,R,M,house,0.8501904452775845,0.7121115046958629
Stivers,412461,1965-03-24,OH-15,R,M,house,0.8520578206149897,0.6144570648931053
Sullivan,412665,1964-11-13,AK-S2,R,M,senate,0.7228906556293551,0.2827903395328359
Suozzi,412717,1962-08-31,NY-03,D,M,house,0.4278930039171531,0.16972080866249983
Swalwell,412514,1980-11-16,CA-15,D,M,house,0.2886957395467429,0.4994271566284473
Takano,412520,1960-12-10,CA-41,D,M,house,0.15035528858656344,0.41357809612593205
Taylor,412727,1979-06-27,VA-02,R,M,house,0.5612170984440698,0.38042190048451807
Tenney,412720,1961-02-04,NY-22,R,F,house,0.638221498917297,0.24003036733708893
Tester,412244,1956-08-21,MT-S1,D,M,senate,0.45990176878180916,0.6742769149329779
Thompson,400402,1948-01-28,MS-02,D,M,house,0.3613790319355683,0.3933645159339384
Thompson,400403,1951-01-24,CA-05,D,M,house,0.401876386610969,0.7517152974887569
Thompson,412317,1959-07-27,PA-05,R,M,house,0.8145657223603296,0.6482047516352949
Thornberry,400404,1958-07-15,TX-13,R,M,house,0.7138314764675527,0.5027670201037748
Thune,400546,1961-01-07,SD-S3,R,M,senate,0.8583751040378009,0.6770576334537441
Tillis,412668,1960-08-30,NC-S2,R,M,senate,0.7746929817525249,0.20751882824925644
Tipton,412405,1956-11-09,CO-03,R,M,house,0.8374178577388357,0.6063110616085436
Titus,412318,1950-05-23,NV-01,D,F,house,0.3009318653264177,0.5255784705332315
Tonko,412319,1949-06-18,NY-20,D,M,house,0.23436392855951327,0.48732376337299954
Toomey,400408,1961-11-17,PA-S3,R,M,senate,0.7348984433104999,0.5912894309711646
Torres,412617,1965-04-04,CA-35,D,F,house,0.33665739981803905,0.29410018456489617
Trott,412636,1960-10-16,MI-11,R,M,house,0.7016990147433549,0.37040501561617334
Tsongas,412254,1946-04-26,MA-03,D,F,house,0.27794313837727663,0.3044371336589982
Turner,400411,1960-01-11,OH-10,R,M,house,0.731279912757188,0.6736761815728045
Udall,400413,1948-05-18,NM-S2,D,M,senate,0.2895031421116826,0.47035189074878125
Upton,400414,1953-04-23,MI-06,R,M,house,0.6464333103735311,0.5941846611310468
Valadao,412515,1977-04-14,CA-21,R,M,house,0.7670535685718973,0.6721929048463671
Van Hollen,400415,1959-01-10,MD-S3,D,M,senate,0.22079226382909278,0.16300902354837865
Vargas,412522,1961-03-07,CA-51,D,M,house,0.2926978172339313,0.3573340122380281
Veasey,412579,1971-01-03,TX-33,D,M,house,0.3238091732030835,0.38693329153046346
Vela,412580,1963-02-13,TX-34,D,M,house,0.40510860623651146,0.11983365190879568
Velazquez,400416,1953-03-28,NY-07,D,F,house,0.21660709809369388,0.6671853218024837
Visclosky,400417,1949-08-13,IN-01,D,M,house,0.41760027298329544,0.050536163367367645
Wagner,412548,1962-09-13,MO-02,R,F,house,0.8424974202749828,0.6608040118606405
Walberg,412213,1951-04-12,MI-07,R,M,house,0.8920430358700049,0.7343353044718702
Walden,400419,1957-01-10,OR-02,R,M,house,0.6877668023345672,0.6493750024382117
Walker,412670,1969-05-20,NC-06,R,M,house,0.7468384115232932,0.5481086012964461
Walorski,412538,1963-08-17,IN-02,R,F,house,0.8230609325415258,0.6463988562631058
Walters,412618,1962-05-14,CA-45,R,F,house,0.6791744951163337,0.31910293566379555
Walz,412214,1964-04-06,MN-01,D,M,house,0.452903694128826,0.7354732951328635
Warner,412321,1954-12-15,VA-S2,D,M,senate,0.42489164303045085,0.5277684102482542
Warren,412542,1949-06-22,MA-S1,D,F,senate,0.04812077919715288,0.6751645555431219
Wasserman Schultz,400623,1966-09-27,FL-23,D,F,house,0.25595084705728083,0.48171950844002626
Waters,400422,1938-08-15,CA-43,D,F,house,0.2264061028400706,0.6204777970381127
Watson Coleman,412644,1945-02-06,NJ-12,D,F,house,0.17114372494459776,0.41161095609993825
Weber,412574,1953-07-02,TX-14,R,M,house,0.9229927257359607,0.4597986409981109
Webster,412410,1949-04-27,FL-11,R,M,house,0.7811889239072701,0.2690911063407589
Welch,412239,1947-05-02,VT-00,D,M,house,0.3337303974209492,0.41733110446645766
Wenstrup,412564,1958-06-17,OH-02,R,M,house,0.8257486542081274,0.5303194413281042
Westerman,412610,1967-11-18,AR-04,R,M,house,0.8278433731467982,0.32860667464471865
Whitehouse,412247,1955-10-20,RI-S1,D,M,senate,0.09347045066233106,0.49020242376198764
Wicker,400432,1951-07-05,MS-S1,R,M,senate,0.8184998183787197,0.6330676105350744
Williams,412578,1949-09-13,TX-25,R,M,house,0.8518130203449917,0.5996564877539882
Wilson,400433,1947-07-31,SC-02,R,M,house,0.8935128795502556,0.7978249292997333
Wilson,412412,1942-11-05,FL-24,D,F,house,0.168205477770944,0.5029514142647104
Wittman,412255,1959-02-03,VA-01,R,M,house,0.8227229507156151,0.42121643562798095
Womack,412402,1957-02-18,AR-03,R,M,house,0.8007136367860198,0.5166573215840174
Woodall,412416,1970-02-11,GA-07,R,M,house,0.6828330086079383,0.43677025899570876
Wyden,300100,1949-05-03,OR-S3,D,M,senate,0.17468534371312644,0.7861361805595993
Yarmuth,412211,1947-11-04,KY-03,D,M,house,0.2941884011995938,0.3872350801963844
Yoder,412430,1976-01-08,KS-03,R,M,house,0.7834945738865167,0.7071023866921262
Yoho,412525,1955-04-13,FL-03,R,M,house,0.9088679899906766,0.8464348895190976
Young,400440,1933-06-09,AK-00,R,M,house,0.722493008827191,0.6101133317229775
Young,412628,1968-05-11,IA-03,R,M,house,0.7596668887803879,0.47254312826422284
Young,412428,1972-08-24,IN-S3,R,M,senate,0.6338800923805205,0.271529027168069
Zeldin,412646,1980-01-30,NY-01,R,M,house,0.6923298951512034,0.6454016860108637
